Resolution,Eye_Setting,Light_Setting,All_Transform_Cycles,Binning_Cycles,Raster_Pure_Cycles,Reformat_Cycles,Total_Cycles
16,0_1_3,0_1_1,4065792,724640,84461536,152463776,241715744
16,0_1_3,1_0_0,2870080,580848,90948224,152075120,246474272
16,0_1_3,-1_0_0,2005056,496768,86318608,154369200,243189632
16,0_1_3,0_1_0,2858448,558608,87259664,152719264,243395984
16,-3_1_0,0_1_1,2078368,560112,85630704,152684368,240953552
16,-3_1_0,1_0_0,2042944,522048,84974496,152036192,239575680
16,-3_1_0,-1_0_0,2966096,625744,86860560,152179664,242632064
16,-3_1_0,0_1_0,2010784,497248,85248768,152594608,240351408
16,3_1_0,0_1_1,2095616,526816,85766592,194029856,282418880
16,3_1_0,1_0_0,2915712,612768,81730288,155336304,240595072
16,3_1_0,-1_0_0,2916256,583136,82608864,152178128,238286384
16,3_1_0,0_1_0,2078912,522656,80481680,152286720,235369968
16,0_4_0,0_1_1,2055824,1417056,112261824,153392784,269127488
16,0_4_0,1_0_0,2902960,1329424,116204720,152420400,272857504
16,0_4_0,-1_0_0,2043936,1220000,113636368,152000928,268901232
16,0_4_0,0_1_0,2935920,1328832,114176624,152146048,270587424
16,2_2_2,0_1_1,2011344,1215488,92512256,152049168,247788256
16,2_2_2,1_0_0,3116928,1359648,100068800,200485536,305030912
16,2_2_2,-1_0_0,2374960,1392000,92201456,153097984,249066400
16,2_2_2,0_1_0,2989488,1308496,93264336,152728544,250290864
