Resolution,Eye_Setting,Light_Setting,Transform_ms,Binning_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,12.8325,7.41779,27.5706,47.8209
16,0_1_3,1_0_0,3.36179,7.46906,26.9903,37.8212
16,0_1_3,-1_0_0,9.50522,7.51002,31.6566,48.6718
16,0_1_3,0_1_0,9.052,7.46077,30.4704,46.9832
16,-3_1_0,0_1_1,10.5799,7.36723,27.2329,45.1801
16,-3_1_0,1_0_0,12.6789,119.917,22.5416,155.137
16,-3_1_0,-1_0_0,9.65094,1.95235,22.7138,34.3171
16,-3_1_0,0_1_0,10.2845,7.48522,27.3794,45.1491
16,3_1_0,0_1_1,6.84608,2.04394,23.0841,31.9741
16,3_1_0,1_0_0,9.74771,7.43834,26.5937,43.7797
16,3_1_0,-1_0_0,10.4975,7.4776,26.6964,44.6715
16,3_1_0,0_1_0,9.72314,7.39328,19.0024,36.1188
16,0_4_0,0_1_1,14.0518,37.5419,36.5342,88.1279
16,0_4_0,1_0_0,9.83462,7.45958,41.6328,58.927
16,0_4_0,-1_0_0,10.2105,7.44387,41.6251,59.2795
16,0_4_0,0_1_0,9.00198,7.4879,44.1966,60.6865
16,2_2_2,0_1_1,10.1424,7.49277,32.4182,50.0533
16,2_2_2,1_0_0,9.04592,7.4937,32.196,48.7356
16,2_2_2,-1_0_0,1.17418,4.30262,32.0871,37.5639
16,2_2_2,0_1_0,9.65568,7.53386,32.4163,49.6058
32,0_1_3,0_1_1,11.4757,7.52525,101.506,120.507
32,0_1_3,1_0_0,11.0681,7.32016,94.1025,112.491
32,0_1_3,-1_0_0,11.5152,7.52592,81.9207,100.962
32,0_1_3,0_1_0,12.6073,7.49926,104.891,124.998
32,-3_1_0,0_1_1,12.9865,7.58416,93.6166,114.187
32,-3_1_0,1_0_0,13.5343,7.5223,103.568,124.624
32,-3_1_0,-1_0_0,12.8858,7.59136,100.337,120.814
32,-3_1_0,0_1_0,11.621,7.65341,103.579,122.853
32,3_1_0,0_1_1,11.6506,7.54262,71.2854,90.4786
32,3_1_0,1_0_0,11.6511,7.53389,91.0243,110.209
32,3_1_0,-1_0_0,11.7569,7.5776,94.6296,113.964
32,3_1_0,0_1_0,12.5001,7.60016,89.5916,109.692
32,0_4_0,0_1_1,11.517,7.55507,140.006,159.078
32,0_4_0,1_0_0,12.0637,7.68243,142.563,162.309
32,0_4_0,-1_0_0,19.042,115.757,125.292,260.091
32,0_4_0,0_1_0,13.4644,7.66502,139.026,160.155
32,2_2_2,0_1_1,11.3944,7.55162,106.094,125.04
32,2_2_2,1_0_0,13.5101,7.60883,107.736,128.855
32,2_2_2,-1_0_0,3.8776,1.64454,50.9478,56.47
32,2_2_2,0_1_0,3.64368,1.61622,55.2808,60.5407
64,0_1_3,0_1_1,13.9894,1.66093,281.662,297.312
64,0_1_3,1_0_0,12.4004,1.50794,360.376,374.284
64,0_1_3,-1_0_0,30.0726,8.12851,349.533,387.734
64,0_1_3,0_1_0,31.6102,8.18176,356.582,396.374
64,-3_1_0,0_1_1,18.7344,8.23933,354.002,380.976
64,-3_1_0,1_0_0,29.1657,8.18333,343.087,380.436
64,-3_1_0,-1_0_0,25.6524,18.8244,341.305,385.782
64,-3_1_0,0_1_0,30.0835,8.10768,351.752,389.943
64,3_1_0,0_1_1,29.5674,8.13261,332.334,370.034
64,3_1_0,1_0_0,29.7214,8.13037,309.767,347.618
64,3_1_0,-1_0_0,32.5099,8.20637,332.035,372.751
64,3_1_0,0_1_0,29.6681,8.19731,329.767,367.633
64,0_4_0,0_1_1,30.0066,8.33117,350.394,388.732
64,0_4_0,1_0_0,12.4053,2.74931,398.234,413.389
64,0_4_0,-1_0_0,12.1786,1.8553,327.574,341.607
64,0_4_0,0_1_0,14.2312,1.78205,380.159,396.173
64,2_2_2,0_1_1,25.1322,15.393,386.198,426.723
64,2_2_2,1_0_0,28.887,8.1801,390.433,427.5
64,2_2_2,-1_0_0,30.3878,8.29478,268.09,306.772
64,2_2_2,0_1_0,24.8427,181.182,386.219,592.244
128,0_1_3,0_1_1,120.891,13.2876,1415.19,1549.37
128,0_1_3,1_0_0,88.1393,14.4279,820.378,922.946
128,0_1_3,-1_0_0,99.2614,13.4062,1401.83,1514.5
128,0_1_3,0_1_0,86.1408,13.44,1248.95,1348.54
128,-3_1_0,0_1_1,57.5162,4.09139,765.748,827.356
128,-3_1_0,1_0_0,96.9131,13.3078,1375.03,1485.26
128,-3_1_0,-1_0_0,99.29,13.2634,1223.08,1335.64
128,-3_1_0,0_1_0,96.8388,5.57414,1382.72,1485.13
128,3_1_0,0_1_1,45.9706,4.89606,811.091,861.958
128,3_1_0,1_0_0,100.518,13.5081,1149.42,1263.44
128,3_1_0,-1_0_0,99.928,13.4717,1307.78,1421.18
128,3_1_0,0_1_0,98.4151,13.3998,1307.23,1419.05
128,0_4_0,0_1_1,45.8962,6.46147,1566.47,1618.83
128,0_4_0,1_0_0,99.6924,14.6719,1792.89,1907.26
128,0_4_0,-1_0_0,153.993,14.5692,2045.56,2214.12
128,0_4_0,0_1_0,46.8952,6.38035,1214.57,1267.84
128,2_2_2,0_1_1,103.228,100.409,1552.63,1756.26
128,2_2_2,1_0_0,93.1456,10.9065,1525.6,1629.65
128,2_2_2,-1_0_0,87.7182,14.4856,901.202,1003.41
128,2_2_2,0_1_0,131.72,148.158,952.526,1232.4
