Resolution,Eye_Setting,Light_Setting,Transform_ms,Raster_ms,Total_ms
16,0_1_3,0_1_1,24.4432,485.253,509.696
16,0_1_3,1_0_0,47.2112,452.689,499.9
16,0_1_3,-1_0_0,24.878,397.67,422.548
16,0_1_3,0_1_0,9.06384,147.495,156.559
16,-3_1_0,0_1_1,9.33104,122.501,131.832
16,-3_1_0,1_0_0,6.04427,95.3071,101.351
16,-3_1_0,-1_0_0,5.3803,106.202,111.582
16,-3_1_0,0_1_0,5.01569,136.966,141.982
16,3_1_0,0_1_1,26.3924,149.199,175.591
16,3_1_0,1_0_0,20.5664,256.477,277.044
16,3_1_0,-1_0_0,9.66815,152.566,162.234
16,3_1_0,0_1_0,8.52803,216.96,225.489
16,0_4_0,0_1_1,23.1808,534.238,557.419
16,0_4_0,1_0_0,25.5534,523.673,549.226
16,0_4_0,-1_0_0,27.6406,523.651,551.292
16,0_4_0,0_1_0,31.1341,569.22,600.354
16,2_2_2,0_1_1,22.7782,213.061,235.84
16,2_2_2,1_0_0,5.78017,138.307,144.088
16,2_2_2,-1_0_0,5.76187,121.816,127.578
16,2_2_2,0_1_0,5.54188,152.839,158.38
32,0_1_3,0_1_1,18.8024,867.782,886.584
32,0_1_3,1_0_0,102.204,1571.55,1673.75
32,0_1_3,-1_0_0,21.0363,419.033,440.07
32,0_1_3,0_1_0,31.2647,670.398,701.662
32,-3_1_0,0_1_1,83.3911,645.573,728.964
32,-3_1_0,1_0_0,94.1678,1555.44,1649.61
32,-3_1_0,-1_0_0,94.9405,1248.09,1343.03
32,-3_1_0,0_1_0,36.5124,600.142,636.654
32,3_1_0,0_1_1,35.4342,568.695,604.129
32,3_1_0,1_0_0,18.7124,383.202,401.915
32,3_1_0,-1_0_0,99.7839,1393.63,1493.42
32,3_1_0,0_1_0,100.521,1144.23,1244.75
32,0_4_0,0_1_1,77.6439,625.638,703.282
32,0_4_0,1_0_0,38.8971,846.291,885.188
32,0_4_0,-1_0_0,95.4749,2167.1,2262.57
32,0_4_0,0_1_0,96.618,867.004,963.622
32,2_2_2,0_1_1,38.6783,733.649,772.327
32,2_2_2,1_0_0,36.5342,573.932,610.466
32,2_2_2,-1_0_0,19.9145,1434.54,1454.46
32,2_2_2,0_1_0,101.67,1580.28,1681.95
64,0_1_3,0_1_1,157.942,5251.46,5409.4
64,0_1_3,1_0_0,413.001,4074.01,4487.01
64,0_1_3,-1_0_0,154.318,2456.64,2610.95
64,0_1_3,0_1_0,166.492,2951.46,3117.96
64,-3_1_0,0_1_1,159.952,2557.99,2717.94
64,-3_1_0,1_0_0,158.699,2247.5,2406.19
64,-3_1_0,-1_0_0,146.776,2963.88,3110.66
64,-3_1_0,0_1_0,155.018,2551.05,2706.06
64,3_1_0,0_1_1,153.926,2234.23,2388.16
64,3_1_0,1_0_0,178.121,3250.99,3429.11
64,3_1_0,-1_0_0,225.436,3320.6,3546.04
64,3_1_0,0_1_0,96.1054,2081.18,2177.29
64,0_4_0,0_1_1,149.13,3886.45,4035.58
64,0_4_0,1_0_0,147.581,3307.72,3455.3
64,0_4_0,-1_0_0,144.167,2955.57,3099.74
64,0_4_0,0_1_0,83.7,4027.99,4111.69
64,2_2_2,0_1_1,144.743,3124.48,3269.22
64,2_2_2,1_0_0,114.071,3120.51,3234.59
64,2_2_2,-1_0_0,145.845,3170.33,3316.18
64,2_2_2,0_1_0,148.908,3144.67,3293.58
128,0_1_3,0_1_1,326.256,13996.7,14323
128,0_1_3,1_0_0,791.203,15326.6,16117.8
128,0_1_3,-1_0_0,624.337,12007.1,12631.5
128,0_1_3,0_1_0,748.426,7946.43,8694.85
128,-3_1_0,0_1_1,329.977,6705.75,7035.73
128,-3_1_0,1_0_0,344.99,6271.51,6616.5
128,-3_1_0,-1_0_0,308.424,6914.31,7222.74
128,-3_1_0,0_1_0,301.612,6724.32,7025.94
128,3_1_0,0_1_1,316.512,6096.55,6413.06
128,3_1_0,1_0_0,306.03,6437.36,6743.39
128,3_1_0,-1_0_0,323.106,5739.63,6062.73
128,3_1_0,0_1_0,315.476,6177.91,6493.39
128,0_4_0,0_1_1,299.419,9506.63,9806.05
128,0_4_0,1_0_0,327.219,8814.37,9141.59
128,0_4_0,-1_0_0,301.593,8938.5,9240.09
128,0_4_0,0_1_0,301.991,9557.34,9859.33
128,2_2_2,0_1_1,299.902,7963.87,8263.77
128,2_2_2,1_0_0,307.207,7627.92,7935.12
128,2_2_2,-1_0_0,309.22,7220.77,7529.99
128,2_2_2,0_1_0,304.195,7885.09,8189.29
